DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-08,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-09,4.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-10,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-11,4.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-12,4.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-01,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-02,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-03,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-04,4.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-05,4.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-06,4.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-07,4.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-08,4.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-09,4.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-10,4.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-11,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2022-12,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-01,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-02,5.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-03,5.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-04,5.2,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-05,4.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-06,4.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-07,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-08,5.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-09,5.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-10,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-11,4.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2023-12,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-01,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-02,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-03,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-04,4.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-05,5.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-06,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-07,4.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-08,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-09,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-10,5.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-11,4.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2024-12,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-01,5.2,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-02,5.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-03,4.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-04,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-05,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-06,5.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-07,6.2,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-08,6.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-09,6.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-10,5.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-11,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2020-12,5.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-01,6.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-02,6.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-03,6.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-04,6.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-05,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-06,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-07,6.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-08,6.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-09,6.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-10,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-11,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2021-12,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-01,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-02,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-03,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-04,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-05,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-06,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-07,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-08,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-09,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-10,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-11,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2022-12,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-01,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-02,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-03,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-04,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-05,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-06,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-07,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-08,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-09,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-10,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-11,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2023-12,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-01,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-02,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-03,5.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-04,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-05,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-06,5.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-07,5.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-08,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-09,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-10,5.9,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-11,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Belgium,2024-12,5.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Bulgaria,2020-01,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Bulgaria,2020-02,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Bulgaria,2020-03,5.6,,
